acteurs,annee,description,duree,genre,pays,public,score,titre
,2017,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",6h 4m,Documentary,United Kingdom,TV-G,9.3,Blue Planet II
"Dominic West,Sonja Sohn,Lance Reddick",2002–2008,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59m,Crime,United States,TV-MA,9.3,The Wire
,2006,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",8h 58m,Documentary,United Kingdom,TV-PG,9.4,Planet Earth
"Mae Whitman,Dee Bradley Baker,Zach Tyler Eisen",2005–2008,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23m,Animation,United States,TV-Y7-FV,9.3,Avatar: The Last Airbender
"Bryan Cranston,Anna Gunn,Aaron Paul",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,49m,Crime,United States,TV-MA,9.5,Breaking Bad
,2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,4h 58m,Documentary,United Kingdom,TV-G,9.5,Planet Earth II
,2014,An exploration of our discovery of the laws of nature and coordinates in space and time.,9h 17m,Documentary,United States,TV-PG,9.3,Cosmos: A Spacetime Odyssey
"James Gandolfini,Lorraine Bracco,Edie Falco",1999–2007,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55m,Crime,United States,TV-MA,9.2,The Sopranos
"Carl Sagan,Jonathan Fahn,Jaromír Hanzlík",1980,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,13h,Documentary,United States,TV-PG,9.3,Cosmos
"Emilia Clarke,Kit Harington,Peter Dinklage",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",57m,Action,United States,TV-MA,9.2,Game of Thrones
"Jared Harris,Jessie Buckley,Stellan Skarsgård",2019,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",5h 30m,Drama,United States,TV-MA,9.4,Chernobyl
,2019,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",6h 43m,Documentary,United States,TV-G,9.3,Our Planet
,2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",9h 54m,Drama,United Kingdom,TV-MA,9.4,Band of Brothers
"Matthew Leonhart,Iemasa Kayumi,Kent Williams",2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24m,Animation,Japan,TV-14,9.1,Fullmetal Alchemist: Brotherhood
,1973–1974,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",52m,Documentary,United Kingdom,TV-PG,9.2,The World at War
,2010– ,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,1h,Game-Show,United Kingdom,TV-PG,8.6,The Great British Baking Show
"Chris Parnell,Spencer Grammer,Justin Roiland",2013– ,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23m,Animation,United States,TV-14,9.1,Rick and Morty
"Tamsin Greig,Bill Bailey,Dylan Moran",2000–2004,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",25m,Comedy,United Kingdom,TV-PG,8.5,Black Books
,2005–2021,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25m,Animation,Japan,TV-14,8.7,Gintama
,2020,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,1h 20m,Comedy,South Korea,TV-MA,8.6,It's Okay to Not Be Okay
"Honeysuckle Weeks,Michael Kitchen,Anthony Howell",2002–2015,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",1h 30m,Crime,United Kingdom,TV-14,8.6,Foyle's War
